COD UF;NOME UF;SIGLA UF;COD MUN;COD MUN 6;NOME MUN;REGIÃO
11;Rondônia; RO;1100015;110001;Alta Floresta D'oeste;Norte
11;Rondônia; RO;1100023;110002;Ariquemes;Norte
11;Rondônia; RO;1100031;110003;Cabixi;Norte
11;Rondônia; RO;1100049;110004;Cacoal;Norte
11;Rondônia; RO;1100056;110005;Cerejeiras;Norte
11;Rondônia; RO;1100064;110006;Colorado do Oeste;Norte
11;Rondônia; RO;1100072;110007;Corumbiara;Norte
11;Rondônia; RO;1100080;110008;Costa Marques;Norte
11;Rondônia; RO;1100098;110009;Espigão D'oeste;Norte
11;Rondônia; RO;1100106;110010;Guajará-Mirim;Norte
11;Rondônia; RO;1100114;110011;Jaru;Norte
11;Rondônia; RO;1100122;110012;Ji-Paraná;Norte
11;Rondônia; RO;1100130;110013;Machadinho D'oeste;Norte
11;Rondônia; RO;1100148;110014;Nova Brasilândia D'oeste;Norte
11;Rondônia; RO;1100155;110015;Ouro Preto do Oeste;Norte
11;Rondônia; RO;1100189;110018;Pimenta Bueno;Norte
11;Rondônia; RO;1100205;110020;Porto Velho;Norte
11;Rondônia; RO;1100254;110025;Presidente Médici;Norte
11;Rondônia; RO;1100262;110026;Rio Crespo;Norte
11;Rondônia; RO;1100288;110028;Rolim de Moura;Norte
11;Rondônia; RO;1100296;110029;Santa Luzia D'oeste;Norte
11;Rondônia; RO;1100304;110030;Vilhena;Norte
11;Rondônia; RO;1100320;110032;São Miguel do Guaporé;Norte
11;Rondônia; RO;1100338;110033;Nova Mamoré;Norte
11;Rondônia; RO;1100346;110034;Alvorada D'oeste;Norte
11;Rondônia; RO;1100379;110037;Alto Alegre dos Parecis;Norte
11;Rondônia; RO;1100403;110040;Alto Paraíso;Norte
11;Rondônia; RO;1100452;110045;Buritis;Norte
11;Rondônia; RO;1100502;110050;Novo Horizonte do Oeste;Norte
11;Rondônia; RO;1100601;110060;Cacaulândia;Norte
11;Rondônia; RO;1100700;110070;Campo Novo de Rondônia;Norte
11;Rondônia; RO;1100809;110080;Candeias do Jamari;Norte
11;Rondônia; RO;1100908;110090;Castanheiras;Norte
11;Rondônia; RO;1100924;110092;Chupinguaia;Norte
11;Rondônia; RO;1100940;110094;Cujubim;Norte
11;Rondônia; RO;1101005;110100;Governador Jorge Teixeira;Norte
11;Rondônia; RO;1101104;110110;Itapuã do Oeste;Norte
11;Rondônia; RO;1101203;110120;Ministro Andreazza;Norte
11;Rondônia; RO;1101302;110130;Mirante da Serra;Norte
11;Rondônia; RO;1101401;110140;Monte Negro;Norte
